Key,
R,Candidates must be able to read and understand the word in Chinese characters at this level.
"",Candidates will not have to read the word in Chinese characters at this level.
"*","They must, however, know the pinyin and understand the word aurally. They"
"四月",sì yuè,April,R,R
"五月",wǔ yuè,May,R,R
"六月",liù yuè,June,R,R
"七月",qī yuè,July,R,R
"八月",bā yuè,August,R,R
"九月",jiǔ yuè,September,R,R
"十月",shí yuè,October,R,R
"十一月",shíyī yuè,November,R,R
"十二月",shí’èr yuè,December,R,R
"元",Yuán,Yuan/Chinese currency,R,R
"个",gè,"(measure word forthings and people)",,R
"件",jiàn,"(measure word forclothing)",,R
"只",zhī,"(measure word for someanimals)",,R
"",Places in town,,,
"公园",gōngyuán,park,,R
"商店",shāngdiàn,shop,,R
"超市",chāoshì,supermarket,,R
"邮局",yóujú,post office,,*
"",Pronouns,,,
"我",wǒ,I; me,*,R
"你",nǐ,you,*,R
"他",tā,he; him,*,R
"她",tā,she; her,*,R
"我们",wǒmen,we; us,*,R
"我的",wǒ de,my,,R
"你的",nǐ de,your,,R
"他的/她的",tā de,his/hers,,R
"我们的",wǒmen de,ours,,R
"你们的",nǐmen de,your (plural),,R
Chinese,Pinyin,English,Level 1,Level 2
"他们的/她们的",tāmen de,their (male/female),,R
"这里",zhè lǐ,here,*,R
"那里",nà lǐ,there,*,R
"里",lǐ,inside,*,R
"那",nà,that,*,R
"这",zhè,this,*,R
"你们",nǐmen,you (plural),*,R
"他们 / 她们",tāmen/tāmen,they (m/f); them,*,R
"",Question words,,,
"吗",ma,question particle,R,R
"几",jǐ?,how many?,R,R
"什么",shénme?,what?,*,R
"哪里/儿",nǎlǐ/ nǎr?,where?,*,R
"谁",shéi?,who?,*,R
"多少",duōshǎo qián?,how much?,,R
"哪个",nǎ gè?,which?,,R
"怎么",zěnme?,how?,,R
"",School and classroom,,,
"包",bāo,bag,R,R
"书",shū,book,R,R
"上学",shàngxué,go to school,R,R
"课",kè,lesson,R,R
"笔",bǐ,pen,R,R
"尺",chǐ,ruler,R,R
"课本",kèběn,textbook,R,R
"学生",xuésheng,student,*,R
"老师",lǎoshī,teacher,*,R
"放学",fàngxué,to finish school,*,*
"作业",zuòyè,homework,*,*
"数学",shùxué,maths,*,*
"体育",tǐyù,PE,*,*
"科学",kēxué,science,*,*
"考试",kǎoshì,test/to test,*,*
"学校",xuéxiào,school,,R
"书桌",shūzhuō,desk,,*
"图片",túpiàn,picture,,*
Chinese,Pinyin,English,Level 1,Level 2
"",Transport,,,
"汽车",qìchē,car,,R
"火车",huǒchē,train,,R
"飞机",fēijī,plane,,R
"开车",kāi chē,to drive,,R
"坐火车",zuò huǒchē,to go by train,,R
"坐飞机",zuò fēijī,to go by plane,,R
"船",chuán,boat,,*
"坐船",zuò chuán,to go by boat,,*
"骑车",qí chē,to ride a bicycle,,*
"走路",zǒu lù,to walk,,*
"",Verbs,,,
"去",qù,to go,R,R
"有",yǒu,"have/has; there is/thereare",R,R
"没有",méiyǒu,"do not/does not have;there is not/are not",R,R
"喜欢",xǐhuan,to like,R,R
"不喜欢",bù xǐhuan,do not/does not like,R,R
"要",yào,to want,R,R
"不要",bú yào,do not/does not want,R,R
"买",mǎi,to buy,R,R
"做",zuò,to do/make,R,R
"喝",hē,to drink,R,R
"吃",chī,to eat,R,R
"起床",qǐchuáng,to get up,R,R
"看",kàn,to watch,R,R
"穿",chuān,to wear,*,R
"是",shì,to be,*,R
"叫",jiào,to be called,*,R
"睡觉",shuìjiào,to sleep,*,R
"住",zhù,to live,*,R
"用",yòng,to use,*,*
"会",huì,to be able to/can,,R
"不会",bú huì,to not be able to/can’t,,R
"说",shuō,to speak,,R
"给",gěi,to give,,*
"唱歌",chàng gē,to sing,,*
